scm_name,repo_name,default_branch,hr_info,is_production,jfrog_ci_status,jfrog_cd_status,deployed_artifacts,sonar_ci_status,sonar_is_scanned,critical_dependencies_vuln,high_dependencies_vuln,code_secrets,code_critical_vulnerabilities,enforcement_on_artifact_push,enforcement_on_critical_sast,sbom_created_per_artifact,sbom_kept_indefinitely
bitbucket_server,argosv2-ds,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argosv2-sb-ui,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argosv2-tools,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,argosv2-ui,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],TRUE,Unhandled Yet,0,0,0,3,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,artemis,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,asm-bot,master,Unhandled Yet,Unhandled Yet,TRUE,Unhandled Yet,"[""docker://staging/asm-bot:fe600f9294be65bdc488916d5712cf967fbdaa30""]",TRUE,Unhandled Yet,6,15,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,asm-job-manager,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,asset-configuration,master,Unhandled Yet,Unhandled Yet,TRUE,Unhandled Yet,"[""docker://staging/asset-configuration:134a93d78cb2c8d928b148127cbbe9e7aaa74b86"", ""docker://staging/asset-configuration:7a164592b57530c15c6632644e99b75d3397aedc""]",FALSE,Unhandled Yet,6,16,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,asset-mgmt,master,Unhandled Yet,Unhandled Yet,FALSE,Unhandled Yet,[],FALSE,Unhandled Yet,0,0,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
bitbucket_server,asset-recommendation-service,master,Unhandled Yet,Unhandled Yet,TRUE,Unhandled Yet,"[""docker://staging/asset-recommendation-service:352c1f7ecc822fea20cfdcb12fdcb32165fa8ba7"", ""docker://staging/asset-recommendation-service:f9b528660d78d58456afaa4b6c64be7e5320b3f6""]",FALSE,Unhandled Yet,6,18,0,0,Unhandled Yet,Unhandled Yet,Unhandled Yet,Unhandled Yet
